# Logfile created on 2026-03-12 19:27:41 +0100 by logger.rb/v1.6.0
2026-03-12 19:27:41 +0100: Memory Usage (421864K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac32module.gds
2026-03-12 19:27:41 +0100: Memory Usage (421864K) : Ruby Version for klayout: 3.3.10
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : Loading database to memory is complete.
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac32module/dac32module_dac32module_main.lyrdb
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : Evaluate switches.
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : tables selected: main
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : deep mode is enabled.
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : FEOL enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : BEOL enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : OFFGRID enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : PIN enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : FORBIDDEN enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : RECOMMENDED enabled: true
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : PreCheck DRC enabled: false
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : CONNECTIVITY_RULES enabled: true.
2026-03-12 19:27:41 +0100: Memory Usage (423092K) : Read in polygons from layers.
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_drw has 508 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_iopc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : activ_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : biwind_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : biwind_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : pemwind_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_drw has 548 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_iopc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : gatpoly_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : cont_drw has 2372 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : cont_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424256K) : nsd_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424384K) : nsd_block has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424384K) : metal1_drw has 1877 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424384K) : metal1_pin has 259 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424384K) : metal1_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424512K) : metal1_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424512K) : metal1_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424512K) : metal1_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424800K) : metal1_text has 259 polygons
2026-03-12 19:27:41 +0100: Memory Usage (424800K) : metal1_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425056K) : metal1_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425056K) : metal1_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : metal1_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : metal1_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : passiv_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : passiv_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : passiv_sbump has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : passiv_pillar has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425184K) : passiv_pdl has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425448K) : metal2_drw has 771 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425448K) : metal2_pin has 540 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425576K) : metal2_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425576K) : metal2_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425704K) : metal2_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425704K) : metal2_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425832K) : metal2_text has 540 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425832K) : metal2_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425960K) : metal2_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (425960K) : metal2_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : metal2_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : metal2_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : baspoly_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : baspoly_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : psd_drw has 149 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : nldb_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426088K) : digibnd_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426216K) : via1_drw has 568 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426216K) : backmetal1_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426216K) : backmetal1_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426344K) : backmetal1_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426344K) : backmetal1_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426472K) : backmetal1_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426472K) : backmetal1_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426600K) : backmetal1_text has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426600K) : backmetal1_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426728K) : backmetal1_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426728K) : backmetal1_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426856K) : backmetal1_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426856K) : backmetal1_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426984K) : backpassiv_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (426984K) : res_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427112K) : sram_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427112K) : trans_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427240K) : ind_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427240K) : ind_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427368K) : ind_text has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427368K) : salblock_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427496K) : via2_drw has 200 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427496K) : metal3_drw has 317 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427624K) : metal3_pin has 165 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427624K) : metal3_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427752K) : metal3_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427752K) : metal3_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427880K) : metal3_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427880K) : metal3_text has 129 polygons
2026-03-12 19:27:41 +0100: Memory Usage (427880K) : metal3_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428008K) : metal3_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428008K) : metal3_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428136K) : metal3_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428136K) : metal3_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428520K) : nwell_drw has 149 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428520K) : nwell_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : nbulay_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : nbulay_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : nbulay_block has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : emwind_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : emwind_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428648K) : deepco_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428776K) : deepco_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428776K) : mim_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428904K) : edgeseal_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (428904K) : edgeseal_bound has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429032K) : substrate_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429032K) : substrate_text has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429160K) : dfpad_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429160K) : dfpad_pillar has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429288K) : dfpad_sbump has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429288K) : thickgateox_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429416K) : pldb_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429416K) : pwell_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429544K) : pwell_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429544K) : pwell_block has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429672K) : ic_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429672K) : via3_drw has 384 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429800K) : metal4_drw has 20 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429800K) : metal4_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429928K) : metal4_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (429928K) : metal4_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430056K) : metal4_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430056K) : metal4_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430184K) : metal4_text has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430184K) : metal4_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430312K) : metal4_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430312K) : metal4_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430440K) : metal4_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430440K) : metal4_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430568K) : heattrans_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430568K) : heatres_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430696K) : pempoly_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430696K) : fbe_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430824K) : empoly_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430824K) : ldmos_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430952K) : pbiwind_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (430952K) : digisub_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431080K) : nodrc_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431080K) : text_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431208K) : via4_drw has 800 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431208K) : metal5_drw has 6 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431336K) : metal5_pin has 2 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431336K) : metal5_mask has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431464K) : metal5_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431464K) : metal5_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431592K) : metal5_slit has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431592K) : metal5_text has 2 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431720K) : metal5_opc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431720K) : metal5_noqrc has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431848K) : metal5_res has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431848K) : metal5_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431976K) : metal5_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (431976K) : radhard_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432104K) : memcap_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432104K) : varicap_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432232K) : flash_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432232K) : intbondvia_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432360K) : intbondmet_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : devbondvia_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : devbondmet_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : devtrench_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : redist_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : graphbot_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : graphtop_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : antvia1_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : antmetal2_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : graphcont_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : siwg_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : siwg_filler has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : siwg_nofill has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : sigrating_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : singrating_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : graphpas_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : emwind3_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : emwihv3_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : redbulay_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : smos_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : graphpad_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : polimide_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : polimide_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_drw has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_pin has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_esd has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_diode has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_tsv has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_iprobe has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_diffprb has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_pillar has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_sbump has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_otp has 0 polygons
2026-03-12 19:27:41 +0100: Memory Usage (432488K) : recog_pdiode has 0 polygons
