# Logfile created on 2026-03-15 15:39:50 +0100 by logger.rb/v1.6.0
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : psd_drw has 1 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : nldb_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : digibnd_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : via1_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : backmetal1_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425616K) : backmetal1_pin has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425744K) : backmetal1_mask has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425744K) : backmetal1_filler has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425872K) : backmetal1_nofill has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (425872K) : backmetal1_slit has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426000K) : backmetal1_text has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426000K) : backmetal1_opc has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426128K) : backmetal1_noqrc has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426128K) : backmetal1_res has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426256K) : backmetal1_iprobe has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426256K) : backmetal1_diffprb has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426384K) : backpassiv_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426384K) : res_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426512K) : sram_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426512K) : trans_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426640K) : ind_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426640K) : ind_pin has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426768K) : ind_text has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426768K) : salblock_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426896K) : via2_drw has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (426896K) : metal3_drw has 6 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427024K) : metal3_pin has 6 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427024K) : metal3_mask has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427152K) : metal3_filler has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427152K) : metal3_nofill has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427280K) : metal3_slit has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427280K) : metal3_text has 6 polygons
2026-03-15 15:39:50 +0100: Memory Usage (427408K) : metal3_opc has 0 polygons
